"component_model_id","season","target","weight"
"LANL_DBMplus","2016/2017","3 wk ahead","0.0914716107332069"
"Protea_Cheetah","2016/2017","3 wk ahead","1.50993754684752e-07"
"Protea_Kudu","2016/2017","3 wk ahead","1.3236147690382e-07"
"Protea_Springbok","2016/2017","3 wk ahead","0.290937586220824"
"ReichLab_kcde_backfill_none","2016/2017","3 wk ahead","2.50639680807902e-10"
"ReichLab_kcde_backfill_post_hoc","2016/2017","3 wk ahead","1.48179782595171e-10"
"ReichLab_kde","2016/2017","3 wk ahead","6.45116516648048e-12"
"ReichLab_sarima_seasonal_difference_FALSE","2016/2017","3 wk ahead","4.53749169780579e-11"
"ReichLab_sarima_seasonal_difference_TRUE","2016/2017","3 wk ahead","9.37346245874802e-10"
"UA_EpiCos","2016/2017","3 wk ahead","1.7736555232444e-10"
"CU_EAKFC_SEIRS","2016/2017","4 wk ahead","0.0778866327056049"
"CU_EAKFC_SIRS","2016/2017","4 wk ahead","7.81550299067185e-07"
"CU_EKF_SEIRS","2016/2017","4 wk ahead","0.0348724680769708"
"CU_EKF_SIRS","2016/2017","4 wk ahead","3.95975199073481e-07"
"CU_RHF_SEIRS","2016/2017","4 wk ahead","0.0612490911149493"
"CU_RHF_SIRS","2016/2017","4 wk ahead","3.91656298148845e-07"
"CUBMA","2016/2017","4 wk ahead","0.0384787761407938"
"Delphi_BasisRegression","2016/2017","4 wk ahead","1.42054224849179e-06"
"Delphi_EmpiricalFutures","2016/2017","4 wk ahead","2.19460091585659e-08"
"Delphi_EmpiricalTrajectories","2016/2017","4 wk ahead","1.94482035771495e-08"
"Delphi_ExtendedDeltaDensity","2016/2017","4 wk ahead","0.180183035523156"
"Delphi_MarkovianDeltaDensity","2016/2017","4 wk ahead","0.0567315373021891"
"Delphi_Uniform","2016/2017","4 wk ahead","4.50325731121488e-09"
"FluOutlook_Mech","2016/2017","4 wk ahead","0.0275790274391154"
"FluOutlook_MechAug","2016/2017","4 wk ahead","0.104959122286383"
"FluX_ARLR","2016/2017","4 wk ahead","4.36351887150551e-08"
"FluX_LSTM","2016/2017","4 wk ahead","8.22007294428154e-08"
"LANL_DBMplus","2016/2017","4 wk ahead","0.0834905647331551"
"Protea_Cheetah","2016/2017","4 wk ahead","1.38007084717227e-07"
"Protea_Kudu","2016/2017","4 wk ahead","4.64182236720763e-08"
"Protea_Springbok","2016/2017","4 wk ahead","0.334566358517944"
"ReichLab_kcde_backfill_none","2016/2017","4 wk ahead","1.52195370921793e-08"
"ReichLab_kcde_backfill_post_hoc","2016/2017","4 wk ahead","1.64923509958424e-08"
"ReichLab_kde","2016/2017","4 wk ahead","6.8479129123811e-11"
"ReichLab_sarima_seasonal_difference_FALSE","2016/2017","4 wk ahead","7.82749797440441e-10"
"ReichLab_sarima_seasonal_difference_TRUE","2016/2017","4 wk ahead","1.88844314890132e-09"
"UA_EpiCos","2016/2017","4 wk ahead","5.82543685187758e-09"
"CU_EAKFC_SEIRS","2017/2018","1 wk ahead","0.0256449503813586"
"CU_EAKFC_SIRS","2017/2018","1 wk ahead","0.00172001582484851"
"CU_EKF_SEIRS","2017/2018","1 wk ahead","0.00588084838054909"
"CU_EKF_SIRS","2017/2018","1 wk ahead","0.0561839172093018"
"CU_RHF_SEIRS","2017/2018","1 wk ahead","0.0651516645091078"
"CU_RHF_SIRS","2017/2018","1 wk ahead","0.032347470859043"
"CUBMA","2017/2018","1 wk ahead","0.0484839451587779"
"Delphi_BasisRegression","2017/2018","1 wk ahead","0.0358522935523217"
"Delphi_EmpiricalFutures","2017/2018","1 wk ahead","3.13948675926394e-15"
"Delphi_EmpiricalTrajectories","2017/2018","1 wk ahead","2.29058433295636e-16"
"Delphi_ExtendedDeltaDensity","2017/2018","1 wk ahead","1.06338457188802e-05"
"Delphi_MarkovianDeltaDensity","2017/2018","1 wk ahead","0.143199379267403"
"Delphi_Uniform","2017/2018","1 wk ahead","1.025503819764e-16"
"FluOutlook_Mech","2017/2018","1 wk ahead","0.0505299459859216"
"FluOutlook_MechAug","2017/2018","1 wk ahead","0.162475529127077"
"FluX_ARLR","2017/2018","1 wk ahead","2.17557226254047e-14"
"FluX_LSTM","2017/2018","1 wk ahead","3.45866444696778e-14"
"LANL_DBMplus","2017/2018","1 wk ahead","0.372519405898402"
"Protea_Cheetah","2017/2018","1 wk ahead","7.66029140561414e-14"
"Protea_Kudu","2017/2018","1 wk ahead","2.42575146604748e-17"
"Protea_Springbok","2017/2018","1 wk ahead","1.97002681858466e-15"
"ReichLab_kcde_backfill_none","2017/2018","1 wk ahead","5.91202292975596e-17"
"ReichLab_kcde_backfill_post_hoc","2017/2018","1 wk ahead","3.81227609489745e-16"
"ReichLab_kde","2017/2018","1 wk ahead","2.93907176863664e-17"
"ReichLab_sarima_seasonal_difference_FALSE","2017/2018","1 wk ahead","9.13039230262665e-16"
"ReichLab_sarima_seasonal_difference_TRUE","2017/2018","1 wk ahead","5.53461060631689e-16"
"UA_EpiCos","2017/2018","1 wk ahead","2.83794414789733e-14"
"CU_EAKFC_SEIRS","2017/2018","2 wk ahead","0.0500992808331622"
"CU_EAKFC_SIRS","2017/2018","2 wk ahead","7.97084213113684e-09"
"CU_EKF_SEIRS","2017/2018","2 wk ahead","0.201918226995386"
"CU_EKF_SIRS","2017/2018","2 wk ahead","3.58542597985134e-09"
"CU_RHF_SEIRS","2017/2018","2 wk ahead","0.0172403217994318"
"CU_RHF_SIRS","2017/2018","2 wk ahead","1.16606451904956e-07"
"CUBMA","2017/2018","2 wk ahead","0.0456999446549263"
"Delphi_BasisRegression","2017/2018","2 wk ahead","0.0168351024471751"
"Delphi_EmpiricalFutures","2017/2018","2 wk ahead","1.63060529371365e-11"
"Delphi_EmpiricalTrajectories","2017/2018","2 wk ahead","1.45808483451912e-12"
"Delphi_ExtendedDeltaDensity","2017/2018","2 wk ahead","0.307677120631785"
"Delphi_MarkovianDeltaDensity","2017/2018","2 wk ahead","3.15004813141341e-10"
"Delphi_Uniform","2017/2018","2 wk ahead","4.99363954761588e-12"
"FluOutlook_Mech","2017/2018","2 wk ahead","2.00283817987071e-16"
"FluOutlook_MechAug","2017/2018","2 wk ahead","0.189232485601171"
"FluX_ARLR","2017/2018","2 wk ahead","9.93258357067568e-12"
"FluX_LSTM","2017/2018","2 wk ahead","7.85802328596425e-12"
"LANL_DBMplus","2017/2018","2 wk ahead","0.17129738851811"
"Protea_Cheetah","2017/2018","2 wk ahead","3.59816024212402e-14"
"Protea_Kudu","2017/2018","2 wk ahead","1.48864380607786e-15"
"Protea_Springbok","2017/2018","2 wk ahead","5.40031630065707e-13"
"ReichLab_kcde_backfill_none","2017/2018","2 wk ahead","9.15601633202015e-17"
"ReichLab_kcde_backfill_post_hoc","2017/2018","2 wk ahead","8.30238453159558e-17"
"ReichLab_kde","2017/2018","2 wk ahead","4.09782194143286e-18"
"ReichLab_sarima_seasonal_difference_FALSE","2017/2018","2 wk ahead","7.4949781825566e-17"
"ReichLab_sarima_seasonal_difference_TRUE","2017/2018","2 wk ahead","1.63832577479263e-16"
"UA_EpiCos","2017/2018","2 wk ahead","9.50944556648848e-16"
"CU_EAKFC_SEIRS","2017/2018","3 wk ahead","0.0435244582783994"
"CU_EAKFC_SIRS","2017/2018","3 wk ahead","7.19346946725105e-13"
"CU_EKF_SEIRS","2017/2018","3 wk ahead","0.146904208408999"
"CU_EKF_SIRS","2017/2018","3 wk ahead","2.23562296436247e-16"
"CU_RHF_SEIRS","2017/2018","3 wk ahead","3.58563352743705e-06"
"CU_RHF_SIRS","2017/2018","3 wk ahead","2.89123453328593e-17"
"CUBMA","2017/2018","3 wk ahead","0.0428167916560483"
"Delphi_BasisRegression","2017/2018","3 wk ahead","6.84824667533434e-10"
"Delphi_EmpiricalFutures","2017/2018","3 wk ahead","1.14393483791442e-14"
"Delphi_EmpiricalTrajectories","2017/2018","3 wk ahead","1.58697636871126e-14"
"Delphi_ExtendedDeltaDensity","2017/2018","3 wk ahead","0.20255686825096"
"Delphi_MarkovianDeltaDensity","2017/2018","3 wk ahead","0.0508702419245402"
"Delphi_Uniform","2017/2018","3 wk ahead","1.14836377932185e-13"
"FluOutlook_Mech","2017/2018","3 wk ahead","1.97071499950426e-12"
"FluOutlook_MechAug","2017/2018","3 wk ahead","0.158935651723134"
"FluX_ARLR","2017/2018","3 wk ahead","1.58128558704489e-14"
"FluX_LSTM","2017/2018","3 wk ahead","1.25708585509547e-14"
"LANL_DBMplus","2017/2018","3 wk ahead","0.0675932692228455"
"Protea_Cheetah","2017/2018","3 wk ahead","1.41277571812562e-11"
"Protea_Kudu","2017/2018","3 wk ahead","2.08021617233207e-16"
"Protea_Springbok","2017/2018","3 wk ahead","0.286794924199733"
"ReichLab_kcde_backfill_none","2017/2018","3 wk ahead","1.1326146246131e-17"
"ReichLab_kcde_backfill_post_hoc","2017/2018","3 wk ahead","8.60517909515754e-18"
"ReichLab_kde","2017/2018","3 wk ahead","9.39547733501239e-20"
"ReichLab_sarima_seasonal_difference_FALSE","2017/2018","3 wk ahead","7.8341892062999e-19"
"ReichLab_sarima_seasonal_difference_TRUE","2017/2018","3 wk ahead","6.24784269178421e-18"
"UA_EpiCos","2017/2018","3 wk ahead","2.8454609504205e-17"
"CU_EAKFC_SEIRS","2017/2018","4 wk ahead","0.0676192116836108"
"CU_EAKFC_SIRS","2017/2018","4 wk ahead","2.72163924235691e-08"
"CU_EKF_SEIRS","2017/2018","4 wk ahead","0.0540123695923533"
"CU_EKF_SIRS","2017/2018","4 wk ahead","1.81534748666971e-09"
"CU_RHF_SEIRS","2017/2018","4 wk ahead","0.03130323062088"
"CU_RHF_SIRS","2017/2018","4 wk ahead","7.87076851595094e-09"
"CUBMA","2017/2018","4 wk ahead","0.0373099905894604"
"Delphi_BasisRegression","2017/2018","4 wk ahead","0.018228439835577"
"Delphi_EmpiricalFutures","2017/2018","4 wk ahead","2.22077769521903e-10"
"Delphi_EmpiricalTrajectories","2017/2018","4 wk ahead","1.23973226362533e-09"
"Delphi_ExtendedDeltaDensity","2017/2018","4 wk ahead","0.198249045585296"
"Delphi_MarkovianDeltaDensity","2017/2018","4 wk ahead","0.0474423374140068"
"Delphi_Uniform","2017/2018","4 wk ahead","3.12203327705918e-10"
