target,location,season,calendar_week,CU_EAKFC_SEIRS,CU_EAKFC_SIRS,CU_EKF_SEIRS,CU_EKF_SIRS,CU_RHF_SEIRS,CU_RHF_SIRS,CUBMA,Delphi_BasisRegression,Delphi_EmpiricalFutures,Delphi_EmpiricalTrajectories,Delphi_ExtendedDeltaDensity,Delphi_MarkovianDeltaDensity,Delphi_Uniform,FluOutlook_Mech,FluOutlook_MechAug,FluX_ARLR,FluX_LSTM,LANL_DBMplus,Protea_Cheetah,Protea_Kudu,Protea_Springbok,ReichLab_kcde_backfill_none,ReichLab_kcde_backfill_post_hoc,ReichLab_kde,ReichLab_sarima_seasonal_difference_FALSE,ReichLab_sarima_seasonal_difference_TRUE,UA_EpiCos
1 wk ahead,HHS Region 1,2010/2011,14,0.46,0.46,0.46,0.46,0.46,0.46,0.506139748066593,0.0017714074,0.19617441,0.2152168,0.000164660155,0.000164660155,0.061068704,0,0,0.31996746,0.41461796,0.1688951924,0.552000020684305,0.51085329,0.552,0.09306,0.09306,0.6470239908,0.4035,0.7358,0.26722384
1 wk ahead,HHS Region 1,2010/2011,15,0.47,0.47,0.47,0.47,0.47,0.47,0.732562171498816,0.0017533808,0.013438923,0.23208001,0.00016982002,0.00016982002,0.061068704,0,0,0.32587757,0.47449245,0.527066882,0.778000031190003,0.548143192,0.778,0.14484,0.14432,0.742572296,0.4831,0.4587,0.45830385
1 wk ahead,HHS Region 1,2010/2011,16,0.57,0.57,0.57,0.57,0.57,0.57,0.518654488,0.0015531977,0.14176054,0.21266824,0.000142431111,0.000142431111,0.053435116,0,0,0.28704996,0.45597126,0.0003519628,0.758000025916103,0.73672129,0.758,0.0242,0.02474,0.752344282,0.5522,0.1878,0.43707156
1 wk ahead,HHS Region 1,2010/2011,17,0.71,0.71,0.71,0.71,0.71,0.71,0.22398405009,0.0013271474,0.14939381,0.17106692,0.000118550548,0.000118550548,0.045801528,0,0,0.24821256,0.37833102,0.033073392,0.871999946925311,0.566692156,0.872,0.00658,0.00646,0.731220949,0.3849,0.2282,0.3124169
1 wk ahead,HHS Region 1,2010/2011,18,0.39,0.39,0.39,0.39,0.39,0.39,0.24144056,0.9719874552,0.17430013,0.14897232,0.9971238108,0.9971238108,0.03816794,0,0,0.20905023,0.30069109,0.089628799,0.701999939979564,0.590157003,0.702,0.03308,0.03414,0.689566671,0.388,0.2932,0.355802
1 wk ahead,HHS Region 1,2010/2011,43,0.72,0.72,0.72,0.72,0.72,0.72,0.217176001907,0.0013281739,0.15947238,0.09669557,0.000118204779,0.000118204779,0.045801528,0.9999575,0.9999517,0.28519365,0.27070401,0.0003016824,0.273999989908191,0.2355804122,0.274,0.00086,0.00092,0.33066823694,0.2066,0.0227,0.17219494
1 wk ahead,HHS Region 1,2010/2011,44,0.58,0.58,0.58,0.58,0.58,0.58,0.25515003687,0.0337537092,0.18569858,0.100958,0.013145351305,0.013145351305,0.045801528,0,0,0.28842708,0.21996589,0.5696688242,0.217999974316465,0.1954692805,0.218,0.00112,0.00094,0.2942453919,0.307,0.1758,0.22322622
1 wk ahead,HHS Region 1,2010/2011,45,0.69,0.69,0.69,0.69,0.69,0.69,0.756141731,0.9724300645,0.22601138,0.13830826,0.997170302817,0.997170302817,0.053435116,0.5857625609,0.8236540686,0.32671452,0.34124761,0.106942793,0.326000041490999,0.4680996691,0.326,0.00922,0.00962,0.3488303319,0.6236,0.5135,0.38578293
1 wk ahead,HHS Region 1,2010/2011,46,0.57,0.57,0.57,0.57,0.57,0.57,0.757388807,0.9726574924,0.27770296,0.17277509,0.99719202782,0.99719202782,0.061068704,0.47630795,0.365563349,0.29784655,0.35342924,0.885238479,0.497999928451401,0.350993215,0.498,0.02852,0.0281,0.38258810694,0.5916,0.6905,0.40541658
1 wk ahead,HHS Region 1,2010/2011,47,0.25,0.25,0.25,0.25,0.25,0.25,0.365010718,0.0015584597,0.1287988,0.15612731,0.000142733934,0.000142733934,0.053435116,0.2114863,0.06690898,0.2435384,0.23010006,0.2264436668,0.233999969085148,0.0693633402,0.234,0.0013,0.00154,0.2879281519,0.3261,0.4236,0.12665567
1 wk ahead,HHS Region 1,2010/2011,48,0.59,0.59,0.59,0.59,0.59,0.59,0.8016029822653,0.9726611961,0.2422636,0.1737807,0.997193492257,0.997193492257,0.061068704,0.7165681,0.7783783,0.33195366,0.35342924,0.9938155208,0.509999770483585,0.1832330699,0.51,0.02148,0.01984,0.32079755994,0.7614,0.7728,0.40008418
1 wk ahead,HHS Region 1,2010/2011,49,0.59,0.59,0.59,0.59,0.59,0.59,0.367938231129372,0.9726517097,0.25892829,0.144981,0.997193142207,0.997193142207,0.061068704,0.41988852,0.69348608,0.30501591,0.41461796,0.7253522756,0.263309739058,0.04589238915,0.274,0.00574,0.00482,0.28654622994,0.6457,0.6567,0.35998049
1 wk ahead,HHS Region 1,2010/2011,50,0.61,0.61,0.61,0.61,0.61,0.61,0.463400247055,0.9730976516,0.31544846,0.1619311,0.997238938215,0.997238938215,0.07633588,0.28314277,0.02261832,0.33675629,0.49768663,0.9925919212,0.516017169365,0.39431271863,0.522,0.0152,0.0138,0.35889843794,0.7776,0.7212,0.57893324
