year,calendar.week,season,model.week,location,target,valid.bin_start_incl,bin_end_notincl,CU_EAKFC_SEIRS,CU_EAKFC_SIRS,CU_EKF_SEIRS,CU_EKF_SIRS,CU_RHF_SEIRS,CU_RHF_SIRS,CUBMA,Delphi_BasisRegression,Delphi_EmpiricalFutures,Delphi_EmpiricalTrajectories,Delphi_ExtendedDeltaDensity,Delphi_MarkovianDeltaDensity,Delphi_Uniform,FluOutlook_Mech,FluOutlook_MechAug,FluX_ARLR,FluX_LSTM,LANL_DBMplus,Protea_Cheetah,Protea_Kudu,Protea_Springbok,ReichLab_kcde_backfill_none,ReichLab_kcde_backfill_post_hoc,ReichLab_kde,ReichLab_sarima_seasonal_difference_FALSE,ReichLab_sarima_seasonal_difference_TRUE,UA_EpiCos
2010,43,2010/2011,43,HHS Region 3,4 wk ahead,1.5,1.6,0.168055,0.111405,0.162737,0.105401,0.075366,0.077374,0.1388759,0.02574239,0.01785791,0.01785791,0.07491844,0.09519318,0.007633588,0,0,0.03368875,0.0388755,0.06658679,0.1059995,0.03702375,0.106,0.03962,0.04172,0.04846511,0.0544,0.0463,0.069076
2010,43,2010/2011,43,HHS Region 4,1 wk ahead,1.4,1.5,0.06,0.06,0.06,0.06,0.06,0.06,0.1361648,0.0002246862,0.02735602,0.02248313,2.274815e-05,2.274815e-05,0.007633588,0,0,0.05640387,0.07003232,0.2188594,0.1599999,0.006527793,0.16,0.14528,0.14726,0.0512289,0.12,0.1079,0.11225
2010,43,2010/2011,43,HHS Region 4,2 wk ahead,1.6,1.7,0.07403,0.060023,0.07803,0.071351,0.039362,0.021372,0.07036644,0.09212189,0.02286963,0.02286963,0.009108775,2.268347e-05,0.007633588,0,0,0.03946832,0.06225137,0.08744152,0.09799961,0.001110509,0.098,0.10086,0.09828,0.04106209,0.057,0.0637,0.083699
2010,43,2010/2011,43,HHS Region 4,3 wk ahead,1.8,1.9,0.039998,0.029351,0.036694,0.029994,0.026039,0.012008,0.07026414,0.09943905,0.02415868,0.02415868,0.01692715,2.273542e-05,0.007633588,0,0,0.0323713,0.05528923,0.05367672,0.04999996,0.04762756,0.05,0.07004,0.07056,0.03908795,0.034,0.0438,0.056973
2010,43,2010/2011,43,HHS Region 4,4 wk ahead,2.2,2.3,0.017329,0.008684,0.016011,0.016689,0.008647,0.012686,0.02919982,0.04270103,0.02407956,0.02407956,0.004827699,2.27414e-05,0.007633588,0,0,0.0219196,0.03083719,0.03844946,0.01800015,0.04356652,0.018,0.03598,0.03544,0.02497286,0.0167,0.0271,0.04372
2010,43,2010/2011,43,HHS Region 5,1 wk ahead,1,1.1,0.03,0.03,0.03,0.03,0.03,0.03,0.5853459,0.0002306055,0.03154305,0.01722087,2.279778e-05,2.279778e-05,0.007633588,0,0,0.06398929,0.07073109,5.02804e-05,0.2979998,0.1246545,0.298,0.02242,0.0229,0.06554141,0.1541,0.1548,0.12865
2010,43,2010/2011,43,HHS Region 5,2 wk ahead,0.9,1,0.125385,0.112679,0.173349,0.130695,0.167411,0.358796,0.0942612,0.03854097,0.01925039,0.01925039,0.2105951,0.1348052,0.007633588,0,0,0.04743868,0.06255755,0.04407693,0.1279996,0.01139163,0.128,0.01546,0.01536,0.0640608,0.1261,0.1275,0.080727
2010,43,2010/2011,43,HHS Region 5,3 wk ahead,0.9,1,0.120708,0.160748,0.15204,0.156758,0.141426,0.35345,0.09281976,0.01511827,0.02226926,0.02226926,0.090732,0.04360854,0.007633588,0,0,0.04215898,0.05544745,0.04076665,0.0639998,0.009507494,0.064,0.00792,0.00704,0.06179054,0.1039,0.1096,0.061623
2010,43,2010/2011,43,HHS Region 5,4 wk ahead,1,1.1,0.168743,0.122069,0.158059,0.092033,0.060049,0.096729,0.02678033,0.0319217,0.02236399,0.02236399,0.09115178,0.05541661,0.007633588,0,0,0.04047829,0.05534575,0.03116686,0.07599949,0.002731419,0.076,0.0041,0.00482,0.05715132,0.0766,0.0927,0.054115
2010,43,2010/2011,43,HHS Region 6,1 wk ahead,2.2,2.3,0,0,0,0,0,0,0.07889855,0.0005247664,0.01054645,0.01344514,0.001454129,0.001454129,0.007633588,0.007633588,0.007633588,0.04083386,0.06718445,0.05301467,0.07599996,0.02665769,0.076,0.0394,0.04092,0.01816208,0.0332,0.0349,0.071555
